SNR[dB],ZF_M=4_N=4,ZF_M=4_N=8,MMSE_M=4_N=4,MMSE_M=4_N=8,MLD_M=4_N=4,MLD_M=4_N=8
0,0.332992891,0.144976445,0.217558711,0.117419688,0.224740547,0.113873438
4,0.255886328,0.053395469,0.141904063,0.041435977,0.131133711,0.028270039
8,0.167591563,0.009298828,0.079057344,0.006902813,0.041807773,0.001711523
12,0.091233906,0.000611367,0.037797695,0.000441445,0.004979297,2.20E-05
16,0.044081445,1.66E-05,0.016354258,1.27E-05,0.000258945,1.56E-07
20,0.019452813,2.73E-07,0.006646367,1.95E-07,1.01E-05,0
24,0.00792457,0,0.00277082,0,2.73E-07,0
28,0.00310668,0,0.001076875,0,0,0
32,0.001258555,0,0.000419492,0,0,0
36,0.000467617,0,0.00020082,0,0,0
40,0.000201914,0,7.44E-05,0,0,0
